index,context,question,answer
25,"Is-Sibt 23 ta’ Settembru fis-6:45 p.m, se tittella’  is-Serata BeActive fil-Kumpless Sportiv tal-Kottonera. Dan se jibda b’mixja mill-Kalkara, segwita minn sfida ta’ fitness b’aktar minn 300 atleta reġistrat, sessjonijiet ta’ fitness għall-pubbliku, u kampjonat tal-waterpolo f’pixxina ta’ daqs Olimpiku. tal-Kottonera, se tenfasizza l-fitness bħala l-fokus primarju.",X' inhu l-fokus tas-Serata BeActive?,l-fitness
26,"Intant, fil-ġranet li għaddew, fl-ewwel logħba tiegħu, Bolt skorja l-ewwel żewġ gowls f'livell professjonali ma’ Central Coast Mariners fl-Awstralja. Il-Ġamajkan, skorja t-tielet u r-raba’ gowl fir-rebħa ta’ 4-0 tal-Mariners kontra Macarthur South West, b'Bolt tipikament jiċċelebra bil-poża klassika tiegħu.",Ma min skurja l-ewwel gowls professjonali tiegħu Usian Bolt?,Central Coast Mariners
27,"Ħaġa li forsi min mhux mitħla tal-eżerċizzju ma jafx, hija li d-dieta hija importanti daqs, jew aktar mill-eżerċizzju stess sabiex wieħed jikseb fiżiku skulturat.",Apparti l-eżerċizzju x' inhu ukoll importanti fil-bini tal-fiżiku?,d-dieta
28,"Il-kumpaniji tal-imħatri diġà għandhom il-favoriti tagħhom, hekk kif qed jgħidu li Franza għandhom iktar possibbiltà li jerfgħu t-tazza. L-odds qed ipoġġu lil Franza bħala rebbieħa b'4-9, waqt li ċ-ċansijiet li jirbħu l-Portugall jidhru iktar minimi skont il-kumpaniji tal-imħatri, b'odds ta' 15-8. Jiġifieri jekk tpoġġi €10 li jirbħu Franza, tkun qed tirbaħ €14.44 jekk verament jgħollu t-tazza, waqt li jekk titfa' €10 fuq il-Portugall, tirbaħ €28.75, jekk eventwalment jirbħu t-tazza.",Min huma l-favoriti li jirbħu t-tazza?,Franza
29,"Frank Lampard u Ashley Cole jafu lil xulxin sew hekk kif kienu jilagħbu flimkien ma’ Chelsea. Saħansitra, dan it-trasferiment jista’ jkun konkluż fil-jiem li ġejjin, hekk kif fis-sigħat li għaddew id-direttur sportiv ta’ Roma, Walter Sabatini, iltaqa’ b’mod personali mad-diriġenti ta’ New York City. Madanakollu, ma ħarġet l-ebda informazzjoni rigward l-eżitu ta’ din il-laqgħa privata bejn iż-żewġ naħat in kwistjoni.",Kif saru jafu lil xulxin Frank Lampard u Ashley Cole?,kienu jilagħbu flimkien ma’ Chelsea
30,"Waqt serata mtella’ mill-Aġenzija Kulturali Għall-Belt Valletta f’Dar il-Mediterran għall-Konferenzi, il-kantanta Mary Spiteri wriet ix-xewqa tagħha li l-libsa tant famuża li libset lura fl-1992 fl-interpretazzjoni ta’ ‘Little Child’ waqt il-Eurovision Song Contest tingħata għall-irkant.",X'kantant Mary Spiteri fl-1992?,Little Child
31,"It-Taljani, li huma l-ospitanti tal-Eurovision Song Contest ta’ din is-sena, jieħdu sehem mal-ewwel fil-finali. Għaldaqstant bdew bl-ewwel prova tagħhom fuq il-palk, iżda flok rajna ż-żewġ kantanti, Mahmood u Blanco, rajna lil Mahmood biss.",Min ospita l-Eurovision Song Contest?,It-Taljani
32,"F’Pala Olimpico, l-provi tal-kanzunetta ‘Brividi‘ xorta waħda saru. Blanco jidher li ser jasal Turin, fil-jiem li ġejjin għaliex minħabba impenji oħra li għandu ma lahaqx ikun fuq il-palk tal-Eurovision għall-ewwel prova. Ġimgħa qabel il-finali, skont id-djar tal-imħatri, l-Italja flimkien ma’ Svezja u l-Ukrajna huma l-aktar 3 pajjiżi favoriti li jistgħu jirbħu l-edizzjoni ta’ din is-sena tal-Eurovision Song Contest.",Liem huma l-pajjiżi favoriti li jirbħu l-Eurovision Song Contest?,l-Italja flimkien ma’ Svezja u l-Ukrajna
33,"Is-Sibt 2 t’April, waqt li f’Malta nilqgħu lil Papa Franġisku fostna għal żjara ta’ ftit aktar minn ġurnata, d-dinja qed tfakkar is-17-il sena mill-mewt tal-Papa Ġwanni Pawlu II.",F' liem ġurnata miet il-Papa Ġwanni Pawlu II?,2 t’April
34,"F’anqas minn xahar, ser ikun ħareġ film ġdid dwar il-Prinċipessa Diana. L-attriċi Kristen Stewart qalet li tant kienet anzjuża meta ġiet offruta li tinterpreta l-parti tal-Prinċipessa, li ma setgħetx tiftaħ ħalqha għal ġimgħatejn qabel beda l-ġbid tal-film innifsu. Ir-Royal Malta Yacht Club reċentament ospita tellieqa lil hinn mix-xtut lejn Licata u Ragusa. Din it-tellieqa offriet lill-ekwipaġġi tellieqa ta’ 172 mil nawtiku li rriżulta li kienet ferm aktar ta’ sfida milli mbassar. Għalkemm il-pjan inizjali tal-Club kien li jiġri għal Lampedusa, il-Kumitat tat-Tlielaq iddeċieda li jibdel ir-rotta għal Licata minħabba l-isfidi loġistiċi li qed jiltaqgħu magħhom f’Lampedusa. Il-korsa, li bdiet mill-Port ta’ Marsamxett ħadet il-flotta lejn Licata u Ragusa qabel mar lura lejn ir-Royal Malta Yacht Club.",Min ser jirreċta l-parti ta' Diana fil-film il-ġdid dwar il-Prinċipessa?,Kristen Stewart
35,Ir-Royal Malta Yacht Club reċentament ospita tellieqa lil hinn mix-xtut lejn Licata u Ragusa. Din it-tellieqa offriet lill-ekwipaġġi tellieqa ta’ 172 mil nawtiku li rriżulta li kienet ferm aktar ta’ sfida milli mbassar.,Kemm hi twila t-tellieqa?,172 mil nawtiku
36,"It-Tim Nazzjonali Malti ta’ taħt it-tmintax-il sena tal-Pool ingħata l-unur tal-Atlas Atleta Żagħżugħ tax-Xahar għal Lulju. Din hija t-tieni darba għal din is-sena, li dan l-unur qed jingħata lil tim.",X' rebaħ it-Tim Nazzjonali Malti tal-pool?,l-unur tal-Atlas Atleta Żagħżugħ tax-Xahar għal Lulju
37,"F’kitba fuq il-midja soċjali, il-plejer internazzjonali Ingliż, Harry Maguire ħabbar li tneħħa minn captain ta’ Manchester United. Huwa qal li d-deċiżjoni ttieħdet wara laqgħa mal-kowċ ta’ United, Erik Ten Hag. Maguire qal li jinsab diżappuntat b’din id-deċiżjoni, iżda qal li se jkompli jagħti kollox għall-klabb Ingliż. Maguire, li għandu 30 sena, ingħaqad mar-Red Devils fl-2019 għas-somma ta’ €80 miljun minn Leicester City.",Min hu l-kowċ ta' Manchester United?,Erik Ten Hag
38,"F’kitba fuq il-midja soċjali, il-plejer internazzjonali Ingliż, Harry Maguire ħabbar li tneħħa minn captain ta’ Manchester United. Huwa qal li d-deċiżjoni ttieħdet wara laqgħa mal-kowċ ta’ United, Erik Ten Hag. Maguire qal li jinsab diżappuntat b’din id-deċiżjoni, iżda qal li se jkompli jagħti kollox għall-klabb Ingliż. Maguire, li għandu 30 sena, ingħaqad mar-Red Devils fl-2019 għas-somma ta’ €80 miljun minn Leicester City.",Ma min kien jilgħab Maguire qabel mar mal-United?,Leicester City
39,"Il-Federazzjoni Maltija tal-Blackball organizzat il-laqgħa ġenerali annwali tagħha fejn ġew diskussi ħafna suġġietti ta’ importanza kif ukoll ġie maħtur il-kumitat għat-terminu li jmiss. Il-president Philip Gatt ġie kkonfermat fil-kariga, l-istess bħalma ngħataw il-fiduċja Robert Attard bħala teżorier, Michel Curmi bħala PRO u Teemor Mifsud bħala membru. Mill-banda l-oħra, Adrian Camilleri ngħata rwol ġdid ta’ segretarju ġenerali b’Edmund Curmi li ngħaqad bħala membru ġdid tal-kumitat.",Min hu l-president tal-Federazzjoni Maltija tal-Blackball?,Philip Gatt
40,"Aktar riżultati sbieħ fil-weightlifting. Dan hekk kif il-weightlifter żagħżugħa Kim Camilleri Lagana rebħet tliet midalji tal-bronż waqt il-Kampjonati tal-Ewropa U15 f’Chisinau, il-Moldova. Lagana kisbet dawn il-midalji fil-kategorija tal-45kg.",X' midalji rebħet Lagana?,tliet midalji tal-bronż
41,"L-Air Show, li sar wara nuqqas ta’ sentejn u jiġi organizzat mis-Soċjetà Maltija tal-Avjazzjoni, sar f’San Pawl il-Baħar u lejn il-Port tal-Marsamxett din is-sena filwaqt li kien hemm ukoll wirja fil-Park tal-Avjazzjoni f’Ħal Safi.",Kemm kien ilu ma jsir l-Air Show?,sentejn
42,Il-Fondazzjoni Kulturali (JP2) Papa San Gwanni Pawlu II b’kollaborazzjoni sħiħa tal-Kunsill Lokali tal Belt Victoria qed torganizza Kunċert mal-Banda tal-Forzi Armati ta’ Malta (AFM). Dan il-kuncert kien skedat li jsir fil-5 ta’ Jannar 2023 u minħabba l-Luttu Nazzjonali għall-mewt tal-Papa Emeritu Benedittu XVI il-kunċert kellu jiġi pospost għal-Ħamis 9 ta’ Frar.,Għaliex ġie postpost il-kunċert?,Luttu Nazzjonali għall-mewt tal-Papa Emeritu Benedittu XVI
43,"Heritage Malta qed toffri lill-pubbliku l-opportunità li jersaq l-eqreb possibbli lejn il-gżira inaċċessibbli ta’ Filfla, waqt li jisma’ bosta ġrajjiet kurjużi rakkontati minn John J. Borg, Kuratur Anzjan tal-Istorja Naturali, li ilu jistudja l-ħlejjaq u l-istorja ta’ Filfla sa mill-1982.",Min hu John J. Borg?,Kuratur Anzjan tal-Istorja Naturali
44,"Knisja li hi meqjusa bħala waħda mill-isbaħ binjiet tal-Belt li mhumiex daqstant magħrufa. Il-knisja tal-Madonna tal-Pilar kienet tifforma parti mill-Berġa ta’ Aragona, Katalonja u Navarre. Inbniet fis-snin 70 tas-seklu 17, seklu wara li nbniet il-berġa proprja. L-ewwel ġebla tqiegħdet mill-Gran Mastru Nicholas Cotoner u l-bini tagħha għamlu tajjeb għalih Raimondo de Soler u Felice Inniges de Ayerba, il-Balliju ta’ Majorca u ta’ Caspe rispettivament.",Min qiegħed l-ewwel ġebla?,Gran Mastru Nicholas Cotoner
45,"Il-ħila fl-istrument tal-kordi tintwera minn Lauri Carmine li beda l-vjolin meta kellu erba’ snin. Lauri minn dakinhar ingħata l-Ordni Nazzjonali tal-Mertu li jirrikonoxxi t-talent tiegħu. Huwa ko-mexxej tal-London Symphony Orchestra. Huwa jirritorna biex idoqq mal-Malta Philarmonic Orchestra wara li ħà sehem fis-Saturday Nights, wieħed mill-ewwel proġetti tal-MPO bħala parti mit-trasformazzjoni diġitali tiegħu.",Xi jdoqq Lauri Carmine?,l-vjolin
46,"Hekk kif tkompli tiddiversifika l-mużika tagħha l-Malta Philarmonic Orchestra nediet l-album Harmonie, kanzunetti ta’ armonija għall-vuċi u l-arpa. Kellhom bosta kunċerti live inkluż il-Pictures at an Exhibition bl-oboeist Albrecht Mayer.",Fiex jikkonsisti l-album Harmonie?,kanzunetti ta’ armonija għall-vuċi u l-arpa
47,"F’Malta l-bizzilla bdiet tinħadem sekli ilu iżda ngħatat imbottatura kbira matul il ħakma tal-Kavallieri ta’ San Ġwann. Id-domanda għaliha kienet fl-aqwa tagħha fl Era Barokka, meta kienet iżżejjen l-ilbies bid-disinji elaborati tagħha. Fis-seklu 19 reġgħet ingħatat spinta bit-twaqqif ta’ stabbilimenti organizzati tajjeb għall produzzjoni tal-bizzilla. Il-qofol tal-attività tal-11 ta’ Lulju se jkun xogħol tal-bizzilla li se jkun qed jinħadem matul il-ġurnata kollha fil-bitħa tal-palazz, imsejħa l-Bitħa tal-Kastellanija.",F' liem era kien hemm domanda kbir għall-bizzilla?,fl Era Barokka
48,"Fi ftit ġimgħat oħra, il-Bank Ċentrali ta’ Malta se joħroġ munita numiżmatika tal-fidda li turi l-Bibljoteka, li llum tospita l-Librerija Nazzjonali ta’ Malta, u sabiex ifakkar l-okkażjoni l-Bank se jorganizza lekċer pubblika dwar l-istorja tagħha.",X' inhi l-Bibljoteka?,l-Librerija Nazzjonali ta’ Malta
49,"Waħda mill-eqdem nixxigħat naturali tal-gżira hija l-Għajn tal-Ħasselin li tinsab fit-triq għax-Xlendi, fir-raħal żgħir tal-Fontana. L-għajn storika tas-seklu 16 kienet waħda mix-xelters arkati mibnija bl-użu ta’ sistema antika ta’ irrigazzjoni magħmula minn kanali tal-ġebel, li jiġbdu l-ilma minn għajn li tinsab fil-parti tal-wied. Il-molol fil-wied kienu jintużaw min-nies tal-lokal ta’ kuljum biex jaħslu ħwejjiġhom. Sal-lum, l-Għajn tal-Ħasselin, post tal-istampi, għadu bħallikieku stampa mill-passat u jintuża mill-Għawdxin biex jaħslu ħwejjiġhom u sar ukoll attrazzjoni turistika.",Għaliex kienet tintuża l-Għajn tal-Ħasselin?,kienu jintużaw min-nies tal-lokal ta’ kuljum biex jaħslu ħwejjiġhom
50,Juventus kellhom problemi fl-attakk minħabba n-nuqqas ta’ Chiesa u Vlahovic iżda l-prestazzjoni tat-tim ta’ Allegri kient waħda konvinċenti fejn Juventus iddominaw għal ħinijiet twal u r-rebħa kienet waħda meritata.,Għaliex kellhom problemi fl-attakk il-Juventus?,n-nuqqas ta’ Chiesa u Vlahovic
51,"Juventus ifittxu t-tliet punti fid-derby biex iżommu l-kuntatt ma’ ta’ quddiem, iżda llum għandhom impenn deċiżament diffiċli kontra Torino fejn il-kowċ Juventin Allegri se jkollu lil Vlahovic u Chiesa nieqsa. Juventus ilbieraħ ukoll ħadu l-aħbar li l-kontro analiżi tad-doping ta’ Paul Pogba ikkonfermaw il-pożittivita’ tal-plejer Franċiż li issa qed jirriskja sospensjoni ta’ erba’ snin.",Min hu l-kowċ ta' Juventus?,Allegri
52,"Il-kumpanija Malta Public Transport ħabbret investiment storiku ta’ €20 miljun fl-elettrifikazzjoni tas-sistema tat-trasport pubbliku bl-inawgurazzjoni tal-ewwel charging depot elettriku għall-iċċarġjar tal-karozzi tal-linja flimkien mat-tnedija ta’ 30 karozza tal-linja ġodda, li jaħdmu kompletament bl-elettriku u mingħajr emissjonijiet.",Fiex investit il-Malta Public Transport?,elettrifikazzjoni tas-sistema tat-trasport pubbliku
53,"Il-karozzi tal-linja elettriċi King Long Amigo ġodda ta’ 12-il metru huma mgħammra b’kumditajiet moderni bħal aċċessibbiltà għal kulħadd, arja kondizzjonata, USB chargers, u Wi-Fi b’xejn, sabiex itejbu l-esperjenza tal-passiġġieri b’rikba aktar kwieta u inqas ċaqlieq. Dawn il-karozzi tal-linja elettriċi huma mgħammra bi batteriji moderni, li joffru firxa ta’ sa 300 kilometru fuq charge waħda. Il-biċċa l-kbira tal-karozzi tal-linja jistgħu jiġu ċċarġjati matul il-lejl, li jiżgura servizz bla interruzzjoni minn filgħodu sa filgħaxija, bl-għażla li jiġu ċċarġjati b’mod veloċi fiċ-charging depot matul il-ġurnata.",Ta' liem kumpanija huma l-karozzi tal-linja elettriċi?,King Long Amigo
54,"Melita Limited se tkun qed tinvesti €50 miljun fin-networks tagħha matul is-seba’ snin li ġejjin, sabiex twassal il-ġenerazzjoni li jmiss ta’ veloċitajiet tal-internet u livell ta’ affidabbiltà bla preċedent li hu mistenni jfassal il-ġejjieni diġitali ta’ pajjiżna. Il-Kap Eżekuttiv tal-Melita, Harald Roesch, illum ħabbar il-bidu ta’ ‘Road to 10 Gigabits’, billi waqt preżentazzjoni live fl-Imrieħel introduċa t-teknoloġija li se tlaħħaq veloċità ta’ xejn inqas minn 10 gigabits – jew 10,000 megabits. Din it-teknoloġija 10 Gbps mistennija tipprovdi veloċitajiet broadband 10 darbiet ikbar mill-aktar network veloċi fil-pajjiż illum, u se jkollha sehem fl-iżvilupp tas-soċjetà tagħna hekk kif se ttejjeb il-mod li bih aħna lkoll nikkonnettjaw, ngħixu u naħdmu.",Kemm ħa jkun veloċi l-internet il-ġdid ta' Melita?,10 Gbps
55,"APS Bank plc nediet Offerta Pubblika Inizjali (IPO) ta’ 100,000,000 ishma ġodda, soġġetti għal għażla ta’ allokazzjoni żejda ta’ 10,000,000 ishma ġodda addizzjonali, bi prezz ta’ €0.62 għal kull ishma. L-ishma kollha attwali u ġodda se jiġu elenkati fil-Lista Uffiċjali tal-Borża ta’ Malta.",Xi jkun IPO?,Offerta Pubblika Inizjali
56,"Il-Grupp ta’ Importaturi, Bejjiegħa u Distributuri fi ħdan il-Kamra tal-Kummerċ, Intrapriża u Industrija qed tipproponi li minflok Black Friday din is-sena jkun organizzat Black Weekend, bil-għan li l-bejgħ jinfirex u ma jinġabrux ħafna nies f’daqqa.",Għaliex ġie propost Black Weekend?,l-bejgħ jinfirex u ma jinġabrux ħafna nies f’daqqa
